id,word,part_of_speech,difficulty_score,meaning_1,meaning_2,meaning_3
758,reachive,adjective,1339,到達できる,,
759,realizive,adjective,1340,現実的,,
760,recommendive,adjective,1341,推奨の,,
761,reducive,adjective,1343,還元的,,
762,referive,adjective,1344,参照の,,
763,reflective,adjective,1345,反射の,,
764,relative,adjective,1346,関連した,,
765,remainive,adjective,1347,残っている,,
766,removive,adjective,1349,取り外し可能,,
767,replacive,adjective,1350,代替の,,
768,reportive,adjective,1351,報告の,,
769,requirive,adjective,1352,必須の,,
770,respondive,adjective,1353,反応性の,,
771,resultive,adjective,1355,結果的な,,
772,revealive,adjective,1356,明白な,,
773,savive,adjective,1357,安全な,,
774,searchive,adjective,1358,探査の,,
775,selective,adjective,1359,精選の,,
776,servive,adjective,1361,役立つ,,
777,sharive,adjective,1362,共有の,,
778,solvive,adjective,1363,解決可能な,,
779,stative,adjective,1364,公式の,,
780,supplyive,adjective,1365,予備の,,
781,supportive,adjective,1367,支持的な,,
782,supposive,adjective,1368,推定の,,
783,tendive,adjective,1369,傾向のある,,
784,testive,adjective,1370,試験の,,
785,treative,adjective,1371,治療の,,
786,trustive,adjective,1373,信頼できる,,
787,understandive,adjective,1374,理解のある,,
788,usive,adjective,1375,有用な,,
789,valuive,adjective,1376,貴重な,,
790,varyive,adjective,1377,多様な,,
791,visitive,adjective,1379,客の,,
792,waitive,adjective,1380,待機中の,,
793,wishive,adjective,1381,望ましい,,
794,writive,adjective,1382,書面の,,
795,actually,adverb,1383,実際に,,
796,ahead,adverb,1385,前方に,,
797,benefitly,adverb,1386,有益に,,
798,comparely,adverb,1387,比較的に,,
799,competely,adverb,1388,競争的に,,
800,completely,adverb,1389,完全に,,
801,considerly,adverb,1391,慎重に,,
802,continuely,adverb,1392,連続的に,,
803,creately,adverb,1393,創造的に,,
804,decidely,adverb,1394,決定的に,,
805,definely,adverb,1395,明確に,,
806,differly,adverb,1397,異なって,,
807,explainly,adverb,1398,明快に,,
808,expressly,adverb,1399,はっきりと,,
809,extendly,adverb,1400,広範に,,
810,identifyly,adverb,1401,同一に,,
811,intendly,adverb,1403,意図的に,,
812,operately,adverb,1404,運用上,,
813,producely,adverb,1405,生産的に,,
814,realizely,adverb,1406,現実的に,,
815,reflectly,adverb,1407,反射的に,,
816,respondly,adverb,1409,迅速に,,
817,savely,adverb,1410,安全に,,
818,selectly,adverb,1411,選択的に,,
819,supposely,adverb,1412,おそらく,,
820,usely,adverb,1413,有益に,,
821,valuely,adverb,1415,高く,,
822,varyly,adverb,1416,様々に,,
823,against,preposition,1417,〜に反対して,,
